Ms Mejw Mej He C N O Ne Mg Fe
0 0.43 0.43 0.13 0.001 0.001 0.004 0 0 0
0.99 0.43 0.43 0.13 0.001 0.001 0.004 0 0 0
1.49 0.91 0.91 0.27 0.003 0.002 0.009 0 0 0
2.00 1.40 1.40 0.43 0.011 0.004 0.014 0 0 0
3.00 2.34 2.34 0.73 0.014 0.007 0.022 0 0 0
4.00 3.14 3.14 0.96 0.014 0.010 0.029 0 0 0
6.00 4.70 4.70 1.58 0.017 0.019 0.044 0 0 0
7.00 5.70 5.70 2.15 0.019 0.027 0.050 0 0 0
9.00 0.32 7.69 2.99 0.074 0.040 0.178 0.021 0.007 0.057
12.0 0.53 10.56 3.95 0.170 0.055 0.712 0.125 0.028 0.121
15.0 0.78 13.13 4.70 0.268 0.067 1.27 0.177 0.036 0.098
20.0 1.90 17.89 6.01 0.281 0.089 2.76 0.217 0.069 0.186
30.0 17.11 22.82 8.28 0.310 0.128 3.08 0.504 0.124 0.022
40.0 34.00 37.94 19.05 3.03 0.211 2.06 0.417 0.039 0.133
60.0 52.65 57.91 32.14 4.93 0.343 2.66 0.474 0.056 0.234
100.0 91.89 97.88 55.48 11.40 0.682 4.28 1.07 0.130 0.251
